Source;Destination;Length;Source Address;Destination Address;Source.1;Destination.1;Address_Resolution_Protocol;Internet_Control_Message_Protocol;Transmission_Control_Protocol;Info;label
10.0.123.2;10.0.123.3;150;76.164.63.50;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;86.50.212.34;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;199.31.169.60;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;231.39.146.19;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;123.48.29.124;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;24.132.132.192;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;3.252.76.156;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;124.62.158.124;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;185.31.39.7;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;196.241.50.31;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;179.158.75.184;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;162;123.25.142.21;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;255.161.211.162;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;211.210.70.213;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;121.183.31.192;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;223.81.124.131;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;165.156.185.119;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;71.218.123.85;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;193.126.248.160;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;197.251.196.96;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
10.0.123.2;10.0.123.3;162;77.118.228.140;10.0.0.4;2a:c5:0d:c8:c4:4b;ba:47:81:ad:3a:e7;0;0;1;2;1
